S_UNNR,N_LFDNR,S_VORSILBE,S_NAME,S_SPEZIFIKATION,S_KLASSE,S_KLASSIFIZIERUNGSCODE,S_VP_GRUPPE,S_KENN1,S_KENN2,S_KENN3,S_KENN4,SV_10,SV_11,S_BEGRENZTE_MENGEN,S_FREIGEST_MENGEN,S_ZUSAMMENPACKUNG1,S_ZUSAMMENPACKUNG2,S_TANK_CODE1,S_TANK_CODE2,S_TANKFAHRZEUG,S_BEFOERDERUNGSKATEGORIE,S_TUNNEL_CODE,S_GEFAHRNR,N_MULTIPLIKATOR,N_ERGAENZ_TECH,S_VERTRAEGL_GR,N_VERBOT,N_UNNR,N_SICHERUNG,S_MENGE_SICHERUNG_TANK,S_MENGE_SICHERUNG_LS,S_MENGE_SICHERUNG_VP,S_KENNZ_N
4,1,,AMMONIUMPIKRAT,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,4,1.0,a),a),0,-
4,2,,AMMONIUMPIKRAT,angefeuchtet mit weniger als 10 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,4,1.0,a),a),0,-
5,1,,PATRONEN FÜR WAFFEN,mit Sprengladung,1.0,1.1F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,5,1.0,a),a),0,
6,1,,PATRONEN FÜR WAFFEN,mit Sprengladung,1.0,1.1E,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,E,1,6,1.0,a),a),0,
7,1,,PATRONEN FÜR WAFFEN,mit Sprengladung,1.0,1.2F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,7,1.0,a),a),0,
9,1,,"MUNITION, BRAND","mit oder ohne Zerleger, Ausstoß- oder Treibladung",1.0,1.2G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,9,1.0,a),a),0,
10,1,,"MUNITION, BRAND","mit oder ohne Zerleger, Ausstoß- oder Treibladung",1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,10,0.0,,,,
12,1,,"PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS",,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,12,0.0,,,,
12,2,,PATRONEN FÜR HANDFEUERWAFFEN,,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,12,0.0,,,,
14,1,,"PATRONEN FÜR WAFFEN, MANÖVER",,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,14,0.0,,,,
