id,lat,lon,destination_name,un_number,substance_name,danger_class,quantity,unit
DEPOT,51.325918,12.011645,Start_Depot_Leuna,-,-,-,-,-
C1,51.367289, 12.434819,Industriegebiet_Leipzig,UN 1202,Dieselkraftstoff,3,6000,Liter
C2,51.483631, 12.015296,Industriegebiet_Halle,UN 1202,Dieselkraftstoff,3,8000,Liter
C3,51.084678, 13.768165,Industriegebiet_Dresden,UN 1202,Dieselkraftstoff,3,7500,Liter
C4,50.798920, 12.929745,Tankstelle_Chemnitz,UN 1202,Dieselkraftstoff,3,5000,Liter
C5,50.9792,11.1256,Industriegebiet_Erfurt,UN 1202,Dieselkraftstoff,3,4500,Liter
C6,50.945592, 11.608864,Industriegebiet_Jena,UN 1202,Dieselkraftstoff,3,7000,Liter
C7,50.961200, 11.259260,DHL_Nhora,UN 1202,Dieselkraftstoff,3,6500,Liter
C8,50.912492, 12.061403,Tankstelle_Gera,UN 1202,Dieselkraftstoff,3,5500,Liter
C9,52.101822, 11.630092,Industriegebiet_Magdeburg,UN 1202,Dieselkraftstoff,3,8500,Liter
C10,51.802704, 12.235987,DB_Werkstatt_Dessau,UN 1202,Dieselkraftstoff,3,6000,Liter
C11,51.629473, 12.301097,Chemiepark_Bitterfeld,UN 1202,Dieselkraftstoff,3,4000,Liter
C12,51.769678, 14.364260,Industriegebiet_Cottbus,UN 1202,Dieselkraftstoff,3,5500,Liter
C13,50.709001, 12.481034,Logistik_Zwickau,UN 1202,Dieselkraftstoff,3,3500,Liter
C14,50.499501, 12.147448,Aral_Plauen,UN 1202,Dieselkraftstoff,3,4500,Liter
C15,50.304638, 11.919935,Tankstelle_Hof,UN 1202,Dieselkraftstoff,3,5000,Liter
C16,51.486191, 10.791956,Industriegebiet_Nordhausen,UN 1202,Dieselkraftstoff,3,6000,Liter
C17,51.884395, 11.078309,Gewerbegebiet_Halberstadt,UN 1202,Dieselkraftstoff,3,4500,Liter
C18,51.876171, 12.591305,Industriepark_Wittenberg,UN 1202,Dieselkraftstoff,3,3500,Liter
C19,51.552248, 12.970863,Tankstelle_Torgau,UN 1202,Dieselkraftstoff,3,5500,Liter
C20,51.146041, 11.832647,Tankstelle_Naumburg,UN 1202,Dieselkraftstoff,3,7000,Liter
C21,51.342678, 11.988740,Tankstelle_Merseburg,UN 1202,Dieselkraftstoff,3,6000,Liter
C22,51.184292, 12.017954,Tankstelle_Weissenfels,UN 1202,Dieselkraftstoff,3,8000,Liter
C23,51.411562, 12.172039,Hermes_Schkeuditz,UN 1202,Dieselkraftstoff,3,7500,Liter
C24,51.512967, 12.337281,Tankstelle_Delitzsch,UN 1202,Dieselkraftstoff,3,5000,Liter
C25,51.358887, 12.766669,Spedition_Wurzen,UN 1202,Dieselkraftstoff,3,4500,Liter
C26,51.220925, 12.718451,Kartbahn_Grimma,UN 1202,Dieselkraftstoff,3,7000,Liter
C27,51.129939, 12.512646,Gewerbegebiet_Borna,UN 1202,Dieselkraftstoff,3,6500,Liter
C28,51.001292, 12.455299,Industriegebiet_Altenburg,UN 1202,Dieselkraftstoff,3,5500,Liter
C29,51.159790, 13.517739,Industriegebiet_Meissen,UN 1202,Dieselkraftstoff,3,8500,Liter
C30,51.314591, 13.280383,Industriegebiet_Riesa,UN 1202,Dieselkraftstoff,3,6000,Liter
C31,50.921715, 13.392756,Industriegebiet_Freiberg,UN 1202,Dieselkraftstoff,3,4000,Liter
C32,51.168095, 14.413691,Industriegebiet_Bautzen,UN 1202,Dieselkraftstoff,3,5500,Liter
C33,51.430276, 14.289119,Industriegebiet_Hoyerswerda,UN 1202,Dieselkraftstoff,3,3500,Liter
C34,51.527821, 14.016959,Industriegebiet_Senftenberg,UN 1202,Dieselkraftstoff,3,4500,Liter
C35,51.513295, 11.579354,Industriegebiet_Lutherstadt_Eisleben,UN 1202,Dieselkraftstoff,3,5000,Liter
C36,51.480816, 11.315494,Gewerbegebiet_Sangerhausen,UN 1202,Dieselkraftstoff,3,6000,Liter
C37,51.769277, 11.483116,Industriegebiet_Aschersleben,UN 1202,Dieselkraftstoff,3,5500,Liter
C38,51.798561, 11.755918,Industriegebiet_Bernburg,UN 1202,Dieselkraftstoff,3,3500,Liter
C39,51.746434, 12.002407,Gewerbegebiet_Koethen,UN 1202,Dieselkraftstoff,3,5500,Liter
C40,51.867664, 11.557193,Tankstelle_Stassfurt,UN 1202,Dieselkraftstoff,3,7000,Liter
C41,51.850656, 10.787768,Gewerbegebiet_Wernigerode,UN 1202,Dieselkraftstoff,3,6000,Liter
C42,51.790323, 11.168981,Tankstelle_Quedlinburg,UN 1202,Dieselkraftstoff,3,8000,Liter
C43,51.385616, 10.848824,Gewerbegebiet_Sondershausen,UN 1202,Dieselkraftstoff,3,7500,Liter
C44,51.198762, 10.478537,Tankstelle_Muehlhausen,UN 1202,Dieselkraftstoff,3,5000,Liter
C45,50.927969, 10.715398,Industriegebiet_Gotha,UN 1202,Dieselkraftstoff,3,4500,Liter
C46,50.867329, 10.948139,Gewerbegebiet_Arnstadt,UN 1202,Dieselkraftstoff,3,7000,Liter
C47,50.697818, 10.937663,Industriegebiet_Ilmenau,UN 1202,Dieselkraftstoff,3,6500,Liter
C48,50.560132, 10.371962,Industriegebiet_Meiningen,UN 1202,Dieselkraftstoff,3,5500,Liter
C49,50.243487, 10.967718,Industriegebiet_Coburg,UN 1202,Dieselkraftstoff,3,8500,Liter
C50,49.910244, 10.869676,Hafen_Bamberg,UN 1202,Dieselkraftstoff,3,6000,Liter
